1.0	easy	SELECT Count(*) FROM log2 WHERE log2.idcase = 'terminal'	SELECT count(*) FROM log1 WHERE activity = 'Closed'	2667	2667	nan	nan	*Original	original	Quantas atividades fechadas temos?	How many closed activities do we have?	"SELECT count(*) FROM log1 WHERE activity=""Closed"""	Quantas atividades 'fim da viagem' temos?	How many activities 'end trip' do we have?	SELECT count(*) FROM events_log WHERE activity = 'End trip'	S	eventos	nan
86.0	medium	SELECT log1.activity, log1.resource FROM log1 WHERE * NOT IN (SELECT log1.resource FROM log1 WHERE log1.resource = 'terminal')	SELECT activity, resource FROM log7 WHERE resource != '560532' AND resource != '560458'	2776	2776	nan	nan	Original - muito mal formulada	nan	Qual o estado de atividade para casos que não estão em resource 560532 e 560458?	What's the activity state and resource for cases which are not in resource 560532 and 560458?	SELECT activity, resource FROM Log_table WHERE resource NOT IN ('560532', '560458');	Liste as atividades e os recursos associados a eventos, desconsiderando aqueles em que os recursos Joshua e Teresa estão envolvidos.	List the activities and resources associated with events, disregarding those in which resources Joshua and Teresa are involved.	SELECT activity, resource FROM events_log WHERE resource != 'Joshua' AND resource!='Teresa'	S	atividade, recurso	nan
87.0	medium	SELECT log1.startdatetime, log1.costevent FROM log1 EXCEPT SELECT log1.startdatetime, log1.costevent FROM log1 WHERE log1.costevent = 'terminal'	SELECT * FROM log8 WHERE activity = 'Start trip' OR activity = 'End trip'	2778	2778	nan	nan	Original com semântica	nan	Quais viagens foram iniciadas ou terminadas e que ainda não tiveram seus pagamentos solicitados ou efetuados ?	Which trips have started or ended and which payments have not yet been requested or paid ?	"SELECT idcase from AUTORIZAÇÃO OU REEMBOLSO PARA VIAGEM ACADÊMICA WHERE activity IN ('start trip', 'end trip') and activity NOT IN ('request payment"", 'payment handled')"	"Liste as instâncias de processos nas quais as atividades 'start trip' ou 'end trip' ocorreram mas as atividades 'request payment"" e 'payment handled' não ocorreram."	nan	SELECT idcase from events_log WHERE activity='Start trip' OR activity='End trip' EXCEPT SELECT idcase from events_log WHERE activity='Request payment' INTERSECT SELECT idcase from events_log WHERE activity='Payment handled'	S	casos	Consegui resolver somente com operadores INTERSECT e EXCEPT. Não consegui outra maneira mais simples de resolver.
88.0	easy	SELECT log1.idevent FROM log1 EXCEPT SELECT log1.resource FROM log1	SELECT idevent FROM log3 WHERE resource = 'null'	2780	2780	nan	nan	Original	nan	Relacione os eventos que não foram utilizados ou reportado uso de recursos	List events that have not been used or reported resource usage	SELECT idevent FROM REQUISIÇÕES DE EMPRÉSTIMOS WHERE resource is null	 	nan	SELECT * FROM events_log WHERE resource IS NULL	S	eventos	Adicionado a consulta para os modelos treinados com Spider, mas não traz resultados NULL
89.0	extra	SELECT log1.idcase FROM log1 WHERE log1.costevent = 'terminal'	SELECT idcase FROM log1 WHERE enddatetime BETWEEN '2016-03-01' AND '2016-03-31' AND activity IN (SELECT activity from log1 where activity = 'New' OR activity = 'Active')	2781	2781	nan	nan	*Original - usou a semântica do atributo e acho que não ficou boa, pois acho que a consulta não resolve ela	nan	Quais casos foram abertos em março de 2016 ?	What cases were opened in March 2016?	select idcase from GERENCIAMENTO DE INCIDENTES where activity in ('new', 'active') and enddatetime between (2016-03-01'and 2016-03-31)	Quais casos iniciaram em março de 2017 ?	What cases started in March 2017?	select idcase from events_log GROUP BY idcase HAVING min(timestamp) < '2017-04-01'	S	casos	Eu acho que essa provavelmente é difícil de um modelo resolver.
90.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais casos foram iniciados com a execução da atividade 'new' em março de 2016.	nan	nan	nan	nan	nan	N	casos	Precisa criar um enunciado para o domínio de viagem.
91.0	medium	SELECT log1.resource FROM log1 GROUP BY log1.resource HAVING Count(*) > 'terminal'	SELECT resource, count(activity) FROM log4 GROUP BY resource HAVING COUNT(activity) > 5	2783	2783	nan	nan	Original (tem semântica)	nan	Quais os recursos tem mais de 5 atuações nos incidentes?	Which resources have more than 5 actions on incidents?	SELECT resource, count(activity) as numeroAtividades FROM log4_excerpt18 GROUP BY resource HAVING COUNT(activity) > 5	 	nan	SELECT DISTINCT resource FROM events_log GROUP BY resource, idcase HAVING COUNT(*) > 5	S	recurso	Similar a nova consulta da 2766 porém com recurso aqui. Uma outra consulta SQL agrupado pelo caso também, ao invés de trazer apenas o recurso.
92.0	hard	SELECT log1.activity FROM log1 GROUP BY log1.activity ORDER BY Count(*) Desc LIMIT 1	SELECT activity, COUNT(activity) FROM log6 GROUP BY activity ORDER BY count(activity) DESC LIMIT 1	2787	2787	nan	nan	Original	nan	Qual é a atividade que é mais recorrente no log?	What activity is most recurrent in the log?	select activity, COUNT(activity) as qtd from log6_excerpt29 group by activity order by count(activity) DESC limit 1	 	nan	select activity from events_log group by activity order by count(activity) DESC limit 1	S	atividade	nan
93.0	hard	SELECT log1.resource FROM log1 JOIN log3 WHERE log1.activity = 'terminal' GROUP BY log1.resource ORDER BY Count(*) Desc LIMIT 1	SELECT resource, COUNT(resource) FROM log6 WHERE activity = 'In Progress' GROUP BY resource ORDER BY count(resource) DESC	2788	2788	nan	nan	*Original (a requisição não corresponde exatamente à consulta)	nan	Quais os recursos que mais atuam na atividade 'In Progress'? Considerando do maior para o menor.	What resources are most active in the 'In Progress' activity? Considering from the biggest to the smallest.	select resource, COUNT(resource) as qtd from log6_excerpt29 where activity = 'In Progress' group by resource order by count(resource) DESC limit 10	Quais os 10 recursos que mais atuam na atividade 'declaração final aprovada pelo supervisor'? Considerando do maior para o menor.	What are the 10 most active resources in the activity 'declaration final approved by supervisor'? Considering from largest to smallest.	select resource, COUNT(*) from events_log where activity = 'Declaration approved by supervisor' group by resource order by count(*) DESC limit 10	S	recurso	Similar 2688 e 2756
94.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	"Apresente os recursos presentes no log de eventos ordenando-os por ordem descrescente do número de vezes em que cada um atuou na atividade ""In Progress""."	"Present the resources existent in the event log by ordering them in descending order of the number of times each one acted in the activity ""In Progress""."	select resource, COUNT(resource) as qtd from log6_excerpt29 where activity = 'In Progress' group by resource order by count(resource) DESC	"Apresente os recursos presentes no log de eventos ordenando os por ordem descrescente do número de vezes em que cada um atuou na atividade ""declaração final aprovada pelo supervisor""."	"Present the resources existent in the event log by ordering them in descending order of the number of times each one acted in the activity ""declaration final approved by supervisor""."	select resource, COUNT(*) from events_log where activity = 'Declaration approved by supervisor' group by resource order by count(*) DESC	S	recurso	Similar 2688 e 2756
95.0	extra	SELECT Count(*) FROM log1 WHERE log1.idcase = 'terminal' UNION SELECT log1.idcase FROM log1 WHERE log1.idcase = 'terminal'	SELECT count(DISTINCT idcase) FROM log6 WHERE activity = 'Assigned' AND resource IN (SELECT resource FROM log6 where resource = 'Marie' OR resource = 'Peter')	2789	2789	nan	nan	*Original - não parece um uso correto da semãntica da atividade	nan	Quantos problemas foram atribuídos à Peter e Marie?	How many problem were Peter and Marie assigned to?	select count(distinct idcase) from log6_excerpt29 where resource in ('Marie', 'Peter') and activity = 'Assigned'	Em quantos cases os recursos Eugene ou Marie foram associados à execução da atividade 'declaração aprovada pelo responsável pelo orçamento'?	How many cases were Eugene or Marie assigned to activity execution 'declaration approved by budget owner'?	select count(distinct idcase), resource from events_log where resource='Marie' or resource='Eugene' and activity = 'Declaration approved by budget owner' group by resource	S	casos	nan
96.0	hard	SELECT log2.activity FROM log2 WHERE log1.idcase = 'terminal' EXCEPT SELECT log2.activity FROM log1 WHERE log1.idcase = 'terminal'	SELECT activity FROM log6 WHERE idcase = '1-147898401' EXCEPT SELECT activity FROM log6 WHERE idcase = '1-236817141'	2790	2790	nan	nan	Original	nan	Existem atividades no idcase 'X' que não acontecem no idcase 'Y'?	Are there activities in idcase 'X' that do not happen in idcase 'Y'?	select activity from log6_excerpt29 where idcase = '1-147898401' except select activity from log6_excerpt29 where idcase = '1-236817141'	Liste todas as atividades que foram executadas no caso 'declaração 49464' mas não foram executadas no caso 'declaração 76667'.	List all activities that were performed on case 'declaration 49464' but were not performed on case 'declaration 76667'.	select activity from events_log where idcase = 'declaration 49464' except select activity from events_log where idcase = 'declaration 76667'	S	atividade	nan
97.0	extra	SELECT log1.resource FROM log1 JOIN log2 WHERE log2.activity = 'terminal' GROUP BY log1.resource HAVING Count(*) > 'terminal'	SELECT resource, count(activity) FROM log6 WHERE activity = 'Closed' GROUP BY idcase, resource, activity HAVING count(activity) >= 2	2791	2791	nan	nan	Original	nan	Quais recursos atuaram na atividade 'closed' mais do que duas vezes?	Which resources acted in the 'closed' activity more than twice?	select resource, count(activity) from log6_excerpt28 where activity = 'Closed' group by idcase, resource, activity having count(activity) >= 2	Quais recursos atuaram na atividade 'declaração requisitada pelo funcionário' mais do que duas vezes?	Which resources acted in the 'declaration submitted by employee' activity more than twice?	select resource, count(activity) from events_log where activity = 'Declaration submitted by employee' group by resource having count(activity) >= 2	S	recurso	Utilizar count(activity) e count(*) nesse contexto são similares, uma vez que não existirão atividades null
98.0	medium	SELECT log1.resource FROM log1 WHERE log1.startdatetime >= 'terminal' AND log1.enddatetime <= 'terminal'	SELECT DISTINCT idcase FROM log6 WHERE activity = 'In Progress' AND startdatetime BETWEEN '2012-05-01' AND '2012-05-02'	2792	2792	nan	nan	Original - inadequada, usou semântica.	nan	Quais problemas estavam em progresso entre '2012-05-01' e '2012-05-10'?	Which problems were in progress between '2012-05-01' and '2012-05-10'?	select distinct idcase from log6_excerpt29 where activity = 'In Progress' and startdatetime between '2012-05-01' and '2012-05-02'	Quais cases passaram pela atividade 'requisição pagamento' entre '2017-05-01' e '2017-05-10'?	Which cases passed through 'request payment' activity between '2017-05-01' and '2017-05-10'?	SELECT DISTINCT idcase FROM events_log WHERE activity = 'Request payment' AND timestamp BETWEEN '2017-05-01' AND '2017-05-10'	S	casos	parecida com a 2735
99.0	medium	SELECT Count(*), log5.idcase FROM log5 GROUP BY log5.idcase	SELECT idcase, count(DISTINCT resource) FROM log3 GROUP BY idcase	2795	2795	nan	nan	nan	nan	Quantos ids de 'resources' existem para cada 'idcase'?	How many ids of 'resources' are there for each 'idcase'?	SELECT idcase, count(distinct resource) as num_resources_id FROM public.log3_excerpt15 group by 1;	nan	nan	SELECT idcase, count(distinct resource) FROM events_log group by idcase	S	recurso, cases	nan
100.0	extra	SELECT log1.resource FROM log1 WHERE log1.resource = 'terminal'	SELECT DISTINCT idcase FROM log5 WHERE resource = 'Niklas' AND idcase NOT IN (SELECT idcase FROM log5 WHERE resource != 'Niklas')	2796	2796	nan	nan	Original	nan	Quais problemas foram inteiramente tratados por Niklas?	Which problems were fully handle by Niklas?	SELECT DISTINCT idcase FROM log5_excerpt21 WHERE resource = 'Niklas' AND idcase <> ALL (SELECT idcase FROM log5_excerpt21 WHERE resource <> 'Niklas')	Quais cases foram interamente tratados por Christopher?	Which cases were fully handled by Christopher?	SELECT idcase from events_log group by idcase HAVING COUNT(DISTINCT resource) = 1 AND resource = 'Christopher'	S	casos	parecida com a 2734
101.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Quais casos foram inteiramente tratados pelo mesmo recurso?	 	fazer	Quais cases foram interamente tratados pelo mesmo recurso?	Which cases were fully handled by the same resource?	SELECT idcase from events_log group by idcase HAVING COUNT(DISTINCT resource) = 1	S	casos	similar a 2734
102.0	medium	SELECT log1.idcase FROM log1 GROUP BY log1.idcase HAVING Count(*) > 'terminal'	SELECT idcase, enddatetime, count(idevent) FROM log7 GROUP BY idcase, enddatetime HAVING count(idevent) > 1	2799	2799	nan	nan	Original	nan	Quais 'idcases' registraram multiplos 'events' em um dia?	Which 'idcases' registered multiple 'events' in one day?	SELECT idcase, enddatetime, count(idevent) as n_events FROM public.log7_excerpt35 group by 1,2 HAVING COUNT(3) > 1	 	nan	nan	N	casos	Avaliar como tratar essas questões de datas nas consultas
103.0	extra	SELECT log1.idcase, Count(*) FROM log1 WHERE log1.costevent = 'terminal' GROUP BY log1.idcase	select idcase, resource, COUNT(*) from log7 where costevent = 'null' GROUP BY idcase, resource	2800	2800	nan	nan	Original (pode ser melhorada)	nan	Para cada case, existem quantos eventos de custo nulo em cada recurso?	For each case, how many null-cost events are there in each resource?	SELECT idcase, resource, COUNT(case when costevent is NULL then 1 end) FROM public.log7_excerpt35 group by 1,2	 	nan	select idcase, resource, count(*) FROM events_log WHERE cost IS NULL GROUP BY idcase, resource	P	casos, recursos	Reexecutar quando ajustar os custos no log de eventos. Por enquanto não há custo nulo.
104.0	medium	SELECT log1.costevent FROM log1 WHERE log1.costevent = 'terminal'	SELECT idevent, activity FROM log2 WHERE activity LIKE '%Remetido%'	2801	2801	nan	nan	Original	nan	Quais eventos tem atividade 'remetida'?	Which events have 'remetido' on description activity?	SELECT idevent, activity FROM public.log2_excerpt10 where activity like '%Remetido%'	Quais eventos estão associados à atividade 'permissão rejeitada pelo diretor'?	Which events are associated with 'permit rejected by director' activity?	select * from events_log where activity='Permit rejected by director'	S	eventos	nan
105.0	extra	SELECT Sum(log1.costevent), log1.costevent FROM log1 GROUP BY log1.costevent	SELECT enddatetime, count(idevent), sum(costevent) FROM log2 GROUP BY enddatetime ORDER BY enddatetime, count(idevent)	2802	2802	nan	nan	Original	nan	Qual o custo total de todos os eventos finalizados ao dia?	What is the total cost of all finished events per day?	SELECT enddatetime , count(idevent) events, sum(costevent) total_cost FROM public.log2_excerpt10 group by 1 order by 1, 2	 	nan	nan	N	eventos	Avaliar como tratar essas questões de datas nas consultas
106.0	extra	SELECT log1.activity FROM log1 WHERE log2.costevent > 'terminal' OR log1.activity = 'terminal' UNION SELECT log1.activity FROM log1 WHERE log2.costevent > 'terminal'	SELECT * FROM log8 WHERE activity LIKE '%SUPERVISOR%' OR activity LIKE '%DIRECTOR%' UNION SELECT * FROM log8 WHERE costevent >= 50	2804	2804	nan	nan	Original	nan	Das atividades que necessitam de supervisor ou diretor, quais tem o custo de evento maior que 50?	Which activities require a supervisor or director and have an event cost greater than 50?	select * from public.log8_excerpt36 where activity like '%SUPERVISOR%' or activity like '%DIRECTOR%' union select * from public.log8_excerpt36 where costevent >= 50	 	nan	select * from events_log where (activity like '%supervisor%' or activity like '%director%' ) and cost >= 50	P	eventos	Reexecutar quando os custos tiverem sido ajustados no log. Nesse caso, talvez necessite ajustar para eventos o enunciado. A declaração SQL precisa ter os parênteses no lugar correto
107.0	medium	SELECT Count(*), log1.idcase FROM log1 GROUP BY log1.idcase	SELECT count((idevent)), idcase FROM log5 WHERE idcase = idcase GROUP BY idcase	2805	2805	nan	nan	Original - não faz sentido	nan	Qual é a quantidade de casos por evento?	What is the number of cases per event?	SELECT count ((idevent)), idcase FROM public.log5_excerpt24 where idcase = idcase group by idcase	 	nan	SELECT count (*), idcase FROM events_log group by idcase	S	casos, eventos	nan
108.0	medium	SELECT Count(*), log2.resource FROM log2 GROUP BY log2.resource	SELECT count((idevent)), resource FROM log5 WHERE resource = resource GROUP BY resource	2806	2806	nan	nan	Original	nan	Quantas tarefas foram atribuídas por recurso?	How many tasks were assigned per resource?	SELECT count ((idevent)), resource FROM public.log5_excerpt24 where resource = resource group by resource;	 	nan	SELECT COUNT(*), resource FROM events_log GROUP BY resource	S	eventos	Similar a 2669, 2674 e nova consulta da 2676
109.0	extra	SELECT log1.idcase, Count(*) FROM log1 WHERE log1.idcase = 'terminal' GROUP BY log1.idcase	SELECT count(idcase), resource, idcase FROM log6 WHERE idcase = idcase AND resource = 'Alice' GROUP BY resource, idcase ORDER BY count(idcase) DESC	2811	2811	nan	nan	Original (do jeito que está fica mal posta)	nan	Quais casos foram atribuídos para Alice solucionar e em quantas tarefas que ela está envolvida por caso?	Which cases have Alice been assigned to solve and how many tasks is she involved in per case?	SELECT count ((idcase)), resource, idcase FROM public.log6_excerpt29 where idcase = idcase and resource = 'Alice' group by resource, idcase order by count ((idcase)) desc	Quais casos foram atribuídos para Alexis solucionar e em quantas tarefas que ela está envolvida por caso?	Which cases have Alexis been assigned to solve and how many tasks is she involved in per case?	SELECT idcase, count(*) FROM events_log where resource = 'Alexis' GROUP by idcase	S	casos	nan
110.0	medium	SELECT Count(*) FROM log1	SELECT count(*) FROM log8 AS act1 JOIN log8 AS act2 ON act1.idcase = act2.idcase WHERE act1.activity = 'Permit FINAL_APPROVED by SUPERVISOR' AND act2.activity = 'Start trip' AND act1.enddatetime < act2.enddatetime	2815	2815	nan	nan	Original usou semântica - é ÓTIMA	nan	Quantas solicitações tiveram permissão com aprovação final do supervisor antes do início da viagem?	How many requests were allowed with final supervisor approval prior to commencing the trip?	SELECT count(DISTINCT *) FROM log8_excerpt39 act1 INNER JOIN log8_excerpt39 act2 ON act1.idcase = act2.idcase WHERE act1.activity = 'Permit FINAL_APPROVED by SUPERVISOR' AND act2.activity = 'Start trip' AND act1.enddatetime < act2.enddatetime	 	nan	SELECT count (DISTINCT e1.idcase) FROM events_log e1 INNER JOIN events_log e2 ON e1.idcase = e2.idcase WHERE e1.activity = 'Permit final approved by supervisor' AND e2.activity = 'Start trip' AND e1.timestamp < e2.timestamp AND (e1.id +1) = e2.id	S	casos	Utilizei o id para identificar imediatamente antes, mas tenho dúvidas se podemos fazer isso, uma vez que não necessariamente os ids seguem a ordem cronológica dos eventos). Acho que para resolver precisa ter várias subconsultas
111.0	extra	SELECT * FROM log1 WHERE * NOT IN (SELECT log1.costevent FROM log1 WHERE log1.costevent LIKE 'terminal')	SELECT * FROM log4 WHERE activity LIKE 'Closed' INTERSECT SELECT * FROM log4 WHERE startdatetime != ('2012-05-10')	2816	2816	nan	nan	Original - não faz sentido do jeito que está escrito, parece incompleto	nan	Quais eventos foram fechados exceto no dia 10 de maio?	What events were closed except for the 10th of May?	select * from public.log4_excerpt19 where activity like 'Closed' intersect select * from public.log4_excerpt19 where startdatetime != ('2012-05-10')	Quais eventos associados à atividade 'fim de viagem' ocorreram no dia 12 de dezembro de 2017?	Which events were associated with 'end trip' activity occurred on 12th december of 2017?	select * from events_log where activity='End trip' and timestamp BETWEEN '2017-12-12' AND '2017-12-13'	S	eventos	nan
112.0	medium	SELECT Count(*), log2.activity FROM log2	SELECT resource, count(idevent), count(activity) FROM log4 GROUP BY resource	2817	2817	nan	nan	Original - a escrita não está clara e redundante	nan	Quantos eventos e atividades foram feitos por cada responsável em resource?	How many events and activities were carried out by each person responsible in the resource?	select resource, count(idevent) n_events, count(activity) n_activities from public.log4_excerpt19 group by 1	 	nan	SELECT count (*), resource FROM events_log group by resource	S	eventos	Similar a 2669, 2674, nova consulta da 2676 e 2806
113.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Em quais atividades cada recurso já atuou?	nan	nan	nan	nan	SELECT resource, activity, count (*) FROM events_log group by resource, activity	S	recurso, atividade	nan
114.0	?	nan	nan	nan	nan	nan	nan	nova consulta	nan	Em quais atividades o recurso Niclas ainda não atuou?	nan	nan	Quais são as atividades que a Virginia ainda não foi associada?	What are the activities that Virginia has not yet been associated with?	SELECT activity FROM events_log where resource != 'Virginia' EXCEPT SELECT activity FROM events_log where resource = 'Virginia'	S	atividade	nan
115.0	medium	SELECT Avg(log1.costevent) FROM log5 JOIN log1 WHERE log5.idcase = 'terminal'	SELECT AVG(DISTINCT COSTEVENT) FROM log8 WHERE activity LIKE '%REJECTED%'	2818	2818	nan	nan	Original - é boa, mas tem semãntica	nan	Qual a média de custo das viagens que tiveram uma fase do processo rejeitada?	What is the average cost of trips that had a process phase rejected?	SELECT AVG(DISTINCT COSTEVENT) FROM log8_excerpt38 WHERE activity LIKE '%REJECTED%'	 	nan	nan	N	casos	Fazer a consulta quando ajustar os custos do log de eventos
116.0	extra	SELECT * FROM log6	SELECT log_s.idcase, (MIN(log_e.startdatetime) - log_s.startdatetime) FROM log6 as log_s JOIN log6 as log_e ON log_s.idcase = log_e.idcase WHERE log_s.activity = 'Awaiting Assignment' AND log_e.activity != 'Awaiting Assignment' AND log_e.startdatetime > log_s.startdatetime GROUP BY log_s.idcase, log_s.activity, log_s.startdatetime	2819	2819	nan	nan	Original - é boa, mas tem semãntica	nan	Qual foi tempo aguardando atribuição de cada problema?	What was the time waiting for each issue to be assigned?	SELECT log_s.idcase, MIN(log_e.startdatetime) - log_s.startdatetime as awaitingassingmenttime FROM log6_excerpt28 log_s INNER JOIN log6_excerpt28 log_e ON log_s.idcase = log_e.idcase WHERE log_s.activity = 'Awaiting Assignment' AND log_e.activity <> 'Awaiting Assignment' AND log_e.startdatetime > log_s.startdatetime GROUP BY log_s.idcase, log_s.activity, log_s.startdatetime	 	nan	nan	N	casos, atividade	Rever como fazer essas consultas com diferença de timestamp
117.0	medium	SELECT Count(*) FROM log1 WHERE log1.idcase = 'terminal'	SELECT count(DISTINCT idcase) FROM log3 WHERE activity LIKE 'O_SENT%'	2821	2821	nan	nan	Original - não vamos falar de subprocessos	nan	Quantas requisições foram enviadas no subprocesso O?	How many requests were sent in subprocess O?	SELECT count(DISTINCT idcase) FROM public.log3_excerpt15 WHERE activity LIKE 'O_SENT%'	Quantas vezes a atividade 'declaração rejeitada pelo pré-aprovador' foi executada?	How many times 'declaration rejected by pre-approver' activity were executed?	SELECT count(*) FROM events_log WHERE activity='Declaration rejected by pre-approver'	S	atividade, eventos	nan
118.0	medium	SELECT log1.idcase, log6.startdatetime FROM log2 ORDER BY log2.resource Asc	SELECT idcase, startdatetime, resource FROM log5 WHERE activity = 'Closed' ORDER BY resource ASC	2822	2822	nan	nan	Original - usou semântica e ficou estranho	nan	"Retorne o ""idcase"" e o campo de data em que a atividade foi fechada, ordenada por ""resource""."	"Select the ""idcase"" and the ""startdatetime"" the activity was closed, ordered by ""resource""."	"select idcase, startdatetime, resource where activity = ""Closed"" order by resource asc"	Retorne o identificador do caso e a data em que a atividade 'fim de viagem' foi executada para esse caso, ordenando a resposta em relação ao recurso associado à execução da atividade.	Return the case identifier and the date of 'end trip' activity that was performed for this case, ordering the response relative to the resource associated with executing the activity.	"select idcase, timestamp from events_log where activity = ""End trip"" order by resource"	S	casos	Retirei o recurso do SQL, mas fiquei na dúvida se deveria ter.
119.0	easy	SELECT log1.idcase, Count(*) FROM log1 GROUP BY log1.idcase	SELECT count(idevent) FROM log5 GROUP BY idcase	2823	2823	nan	nan	Original	nan	Quantos eventos foram registrados para cada idcase?	How many events were logged for each idcase?	select count (idevent) AS n_eventos group by idcase	 	nan	SELECT count (*), idcase FROM events_log group by idcase	S	casos	Similar a 2805
120.0	medium	SELECT Count(*) FROM log1 WHERE log1.enddatetime >= 'terminal' AND log1.enddatetime <= 'terminal'	SELECT COUNT(*) FROM log6 WHERE activity = 'Closed' AND startdatetime BETWEEN '2012-05-02T00:00:00.000Z' AND '2012-05-12T23:59:59.000Z'	2824	2824	nan	nan	original - usa contexto da atividade e isso não funciona	nan	Quantos casos foram fechados entre 2012/05/02 e 2012/05/12?	How many cases were closed in between 2012/05/02 and 2012/05/12?	"SELECT COUNT(*) FROM gerenciamento_de_incidentes WHERE activity = ""Closed"" AND startdatetime BETWEEN 2012-05-02T00:00:00.000Z AND 2012-05-12T23:59:59.000Z"	Quantos casos passsaram pela atividade 'end trip' entre 02/05/2017 e 12/05/2017?	How many cases went through the 'end trip' activity between 05/02/2017 and 05/12/2017?	"SELECT COUNT(DISTINCT idcase) FROM events_log WHERE activity = ""End trip"" AND timestamp BETWEEN '2017-05-02' and '2017-05-12'"	S	casos	Similar a 2735 e parecido com 2792
121.0	hard	SELECT log1.resource, log1.idcase, log1.idcase, log2.enddatetime FROM log1 JOIN log2 WHERE log1.idcase = 'terminal' ORDER BY log1.idcase Asc	SELECT idevent, idcase, resource, enddatetime FROM log7 WHERE activity LIKE 'by law' ORDER BY enddatetime ASC	2826	2826	nan	nan	Original	nan	Em ordem cronológica de finalização, quais casos incluem a atividade 'by law' e quais são o recurso, id de evento e data de finalização correspondentes dessa atividade?	In chronological order of finish, which cases include the 'by law' activity and what are the resource, event id and end date corresponding to this activity?	SELECT idevent,idcase,resource,enddatetime FROM log7_excerpt33 WHERE activity LIKE 'by law' ORDER BY enddatetime ASC ;	"Informe o identificador do caso, recurso, identificador de evento e data de finalização das ocorrências da atividade ""envio de lembrete"", considerando ordem cronológica de finalização."	"Inform the case identifier, resource, event identifier and completion date of occurrences of the ""send reminder"" activity, considering chronological order of completion."	SELECT idcase, resource, timestamp, id FROM events_log WHERE activity='Send reminder' ORDER BY timestamp	S	eventos	nan
122.0	easy	SELECT log6.resource FROM log6 ORDER BY log6.resource Asc	SELECT DISTINCT resource FROM log5 ORDER BY resource	2864	2864	nan	nan	Original	nan	Quais são os recursos em ordem alfabética?	What are the resources in alphabetical order?	select distinct resource from log5_excerpt24 order by resource	 	nan	select distinct resource from log5_excerpt24 order by resource	S	recurso	nan
123.0	easy	SELECT log1.resource FROM log1 GROUP BY log1.resource HAVING Count(*) > 'terminal'	SELECT resource FROM log4 GROUP BY resource HAVING COUNT(*) > 4	2866	2866	nan	nan	Original	nan	Quais são os recursos que possuem mais do que 4 incidentes?	Which resources have more than 4 incidents?	*SELECT resource FROM log4_excerpt17 GROUP BY resource HAVING COUNT(*) > 4;	Quais recursos estão associados a mais do que duzentos casos?	Which resources are associated with more than two hundred cases?	SELECT resource FROM events_log GROUP BY resource HAVING COUNT(DISTINCT idcase) > 200	S	recurso	nan
124.0	easy	SELECT Count(*) FROM log1	SELECT count(resource) FROM log1 WHERE resource != 'null'	2874	2874	nan	nan	*Original (não faz sentido dessa forma)	nan	*Quantas pessoas foram responsáveis por algum incidente?	*How many people were responsible for some incident?	*select count (resource) from log1_excerpt1 where resource is not null	 	nan	SELECT COUNT (DISTINCT resource) FROM events_log	S	recurso	nan
125.0	medium	SELECT log1.activity FROM log1	SELECT activity FROM log1 WHERE activity LIKE '%register%'	2882	2882	nan	nan	Original	nan	Quais atividades envolvem registro?	What activities involve resgistration?	SELECT activity FROM log1_excerpt1 WHERE activity LIKE '%register%';	Quais são as atividades que contém 'declaração' em seu nome identificador?	What are the activities that contain 'declaration' in their identifying name?	SELECT DISTINCT activity FROM events_log WHERE activity LIKE '%declaration%'	S	atividade	nan
126.0	medium	SELECT Avg(*) FROM log1	SELECT costevent / COUNT(*) FROM log7 WHERE idcase = '7273165' GROUP BY costevent	2883	2883	nan	nan	Original	nan	Em média, quanto cada atividade custaria?	On average, how much each activity would cost?	Select costevent/COUNT * FROM log7_excerpt35 where idcase = 7273165	 	nan	SELECT AVG(cost), activity  FROM events_log GROUP BY activity	P	atividade	Reexecutar quando ajustar os custos no log de eventos
127.0	easy	SELECT Count(*) FROM log1 WHERE log1.costevent = 'terminal'	SELECT COUNT(*) FROM log7 WHERE costevent = 'null'	2884	2884	nan	nan	Original	nan	Quantos pedidos de autorização não tem custo nenhum?	How many authorization requests doesn't have any cost?	*SELECT COUNT() FROM log7_excerpt33 WHERE costevent is null;	 	nan	SELECT DISTINCT idcase FROM events_log where cost IS NULL EXCEPT SELECT DISTINCT idcase FROM events_log where cost IS NOT NULL	P	casos	Reexecutar quando ajustar os custos no log de eventos. No entanto, a ideia da consulta foi selecionar todos os casos que tem algum nulo excetos aqueles que possuem algum registro com custo.
